"filename", "language", "(Unsupported)", "CMake", "comment", "blank", "total"
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/expand.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/funcs/cmv", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/funcs/dirs", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/funcs/kill", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/funcs/login", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/funcs/newgrp", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/funcs/popd", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/funcs/pushd", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/funcs/suspend", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/gendeps.pl", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/hetio.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/hetio.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/histedit.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/init.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/input.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/input.h", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/jobs.c", "(Unsupported)", 0, 0, 0, 0, 0
"/home/umarin/source/niteOS/Thirdparty/klibc-2.0.11/usr/dash/jobs.h", "(Unsupported)", 0, 0, 0, 0, 0
